,Postal Code,Venue,Venue Latitude,Venue Longitude,Venue Category
4694,M5L,Nathan Phillips Square,43.65227047322295,-79.38351631164551,Plaza
4695,M5L,Walrus Pub & Beer Hall,43.64737470920577,-79.37951515363918,Pub
4696,M5L,Dineen Coffee,43.650497,-79.378765,Café
4697,M5L,Estiatorio Volos,43.65032912559998,-79.38453301297716,Greek Restaurant
4698,M5L,The Gabardine,43.65098801064232,-79.38122513218154,American Restaurant
4699,M5L,The Chase,43.650951982093595,-79.37942201983014,New American Restaurant
4700,M5L,Shangri-La Toronto,43.64912919417502,-79.3865566853963,Hotel
4701,M5L,Design Exchange,43.64797219581623,-79.38010382588462,Art Gallery
4702,M5L,Café Plenty,43.6491179354577,-79.37831288380438,Café
4703,M5L,DAVIDsTEA,43.64650585612388,-79.38014477491379,Tea Room
4704,M5L,The Cambridge Club,43.65166287812755,-79.38307469732278,Gym
4705,M5L,John Allans,43.651446635211904,-79.38135389611388,Salon / Barbershop
4706,M5L,Old City Hall,43.652008800876125,-79.3817442232328,Monument / Landmark
4707,M5L,Petit Four Bakery,43.647743692587085,-79.37958814250598,Sandwich Place
4708,M5L,The Adelaide Hotel Toronto,43.6498312,-79.3801639,Hotel
4709,M5L,Tachi,43.65059603893127,-79.38339613055128,Sushi Restaurant
4710,M5L,Ninki Izakaya,43.65022782352305,-79.38486260004564,Japanese Restaurant
4711,M5L,Roy Thomson Hall,43.6465886970634,-79.38597899374354,Concert Hall
4712,M5L,Noodle King,43.65170632794881,-79.38304628912547,Asian Restaurant
4713,M5L,The National Club,43.64934259283233,-79.3805735731846,Wine Bar
4714,M5L,GoodLife Fitness Toronto 137 Yonge Street,43.651242,-79.378068,Gym
4715,M5L,Sweet Lulu,43.65055650489936,-79.38117543224395,Asian Restaurant
4716,M5L,Downtown Toronto,43.65323167517444,-79.38529600606677,Neighborhood
4717,M5L,Canadian Opera Company,43.6506601893789,-79.38624169559013,Opera House
4718,M5L,Hockey Hall Of Fame (Hockey Hall of Fame),43.646974451431056,-79.37732323942681,Museum
4719,M5L,WVRST,43.64496809087762,-79.38137631843854,Beer Bar
4720,M5L,Beerbistro,43.64941904378835,-79.37723726034164,Gastropub
4721,M5L,Ruth's Chris Steak House,43.6499174,-79.3857238,Steakhouse
4722,M5L,Ki Modern Japanese + Bar,43.647167,-79.379608,Japanese Restaurant
4723,M5L,Olly Fresco's,43.646912231909276,-79.37959661696463,Deli / Bodega
4724,M5L,Sunset Grill,43.65166162378037,-79.3790751303271,Breakfast Spot
4725,M5L,FLOCK Rotisserie + Greens,43.65098849486318,-79.38191708712704,Salad Place
4726,M5L,Byblos Toronto,43.647615054171766,-79.3883810317138,Mediterranean Restaurant
4727,M5L,Leña,43.651722,-79.379205,Latin American Restaurant
4728,M5L,Eggspectation Bell Trinity Square,43.65314383888587,-79.38198016678167,Breakfast Spot
